,Tram_2,Tram_10,Tram_13,Tram_24,Tram_38
144,11.0,14.0,14.0,13.0,6.0
145,13.0,16.0,12.0,16.0,12.0
146,13.0,17.0,15.0,15.0,10.0
147,11.0,16.0,10.0,12.0,7.0
148,5.0,17.0,15.0,13.0,6.0
149,5.0,18.0,8.0,8.0,7.0
150,7.0,23.0,7.0,11.0,10.0
151,5.0,21.0,15.0,9.0,8.0
152,8.0,19.0,12.0,13.0,15.0
153,5.0,18.0,12.0,13.0,8.0
154,6.0,14.0,10.0,5.0,23.0
155,4.0,15.0,4.0,6.0,10.0
156,5.0,11.0,9.0,11.0,6.0
157,3.0,6.0,8.0,7.0,7.0
158,4.0,5.0,5.0,1.0,19.0
159,1.0,8.0,10.0,7.0,14.0
160,2.0,8.0,7.0,3.0,11.0
161,8.0,10.0,16.0,11.0,12.0
162,10.0,12.0,5.0,13.0,12.0
163,12.0,16.0,11.0,23.0,14.0
164,12.0,19.0,11.0,14.0,18.0
165,14.0,19.0,16.0,17.0,19.0
166,14.0,17.0,9.0,15.0,12.0
167,9.0,19.0,16.0,7.0,11.0
168,12.0,22.0,13.0,7.0,12.0
169,7.0,24.0,12.0,7.0,5.0
170,7.0,23.0,7.0,15.0,11.0
171,8.0,25.0,11.0,6.0,9.0
172,10.0,25.0,13.0,18.0,10.0
173,9.0,28.0,17.0,17.0,13.0
174,7.0,18.0,19.0,19.0,8.0
175,5.0,8.0,6.0,13.0,10.0
176,6.0,10.0,5.0,12.0,6.0
177,9.0,4.0,6.0,2.0,1.0
178,3.0,7.0,6.0,10.0,7.0
179,6.0,4.0,5.0,11.0,4.0
180,3.0,7.0,8.0,6.0,6.0
181,8.0,7.0,11.0,6.0,1.0
182,4.0,5.0,9.0,2.0,6.0
183,6.0,9.0,4.0,6.0,7.0
184,6.0,8.0,9.0,11.0,7.0
185,9.0,10.0,4.0,6.0,6.0
186,11.0,10.0,13.0,12.0,10.0
187,14.0,11.0,10.0,19.0,11.0
188,13.0,12.0,13.0,15.0,12.0
189,13.0,11.0,16.0,15.0,13.0
190,14.0,15.0,18.0,11.0,15.0
191,11.0,13.0,19.0,12.0,12.0
192,12.0,14.0,17.0,15.0,13.0
193,13.0,16.0,16.0,15.0,15.0
194,14.0,16.0,12.0,18.0,16.0
195,18.0,17.0,12.0,15.0,12.0
196,15.0,18.0,22.0,15.0,12.0
197,16.0,19.0,15.0,18.0,16.0
198,12.0,15.0,19.0,17.0,14.0
199,13.0,17.0,27.0,26.0,10.0
200,9.0,19.0,16.0,20.0,10.0
201,5.0,17.0,22.0,14.0,9.0
202,6.0,16.0,13.0,16.0,11.0
203,4.0,14.0,6.0,22.0,12.0
204,6.0,14.0,6.0,9.0,10.0
205,7.0,13.0,3.0,17.0,3.0
206,11.0,7.0,14.0,12.0,7.0
207,10.0,12.0,10.0,14.0,9.0
208,11.0,12.0,10.0,11.0,13.0
209,9.0,12.0,14.0,13.0,10.0
210,8.0,11.0,10.0,12.0,13.0
211,10.0,13.0,15.0,16.0,8.0
212,7.0,13.0,14.0,10.0,11.0
213,8.0,14.0,18.0,14.0,16.0
214,8.0,16.0,15.0,17.0,12.0
215,12.0,17.0,11.0,16.0,7.0
216,9.0,15.0,20.0,12.0,8.0
217,11.0,18.0,22.0,18.0,17.0
218,12.0,19.0,16.0,13.0,17.0
219,9.0,21.0,17.0,16.0,14.0
220,9.0,19.0,11.0,15.0,12.0
221,11.0,24.0,14.0,18.0,17.0
222,12.0,20.0,15.0,17.0,11.0
223,16.0,22.0,19.0,25.0,16.0
224,13.0,22.0,19.0,18.0,23.0
225,14.0,15.0,15.0,18.0,28.0
226,15.0,16.0,15.0,19.0,27.0
227,16.0,21.0,22.0,13.0,20.0
228,15.0,21.0,18.0,24.0,23.0
229,18.0,20.0,21.0,17.0,14.0
230,17.0,21.0,18.0,20.0,16.0
231,18.0,19.0,22.0,17.0,20.0
232,17.0,19.0,22.0,21.0,21.0
233,17.0,23.0,17.0,20.0,16.0
234,16.0,26.0,16.0,29.0,23.0
235,17.0,20.0,19.0,19.0,17.0
236,24.0,15.0,12.0,15.0,21.0
237,22.0,15.0,9.0,6.0,19.0
238,18.0,14.0,11.0,17.0,26.0
239,16.0,14.0,11.0,19.0,25.0
240,14.0,10.0,12.0,16.0,19.0
241,17.0,13.0,8.0,9.0,17.0
242,18.0,14.0,12.0,15.0,12.0
243,19.0,13.0,8.0,13.0,16.0
244,11.0,16.0,12.0,17.0,17.0
245,16.0,13.0,13.0,8.0,16.0
246,17.0,14.0,11.0,13.0,13.0
247,15.0,15.0,15.0,15.0,12.0
248,11.0,14.0,16.0,18.0,12.0
249,10.0,9.0,18.0,5.0,12.0
250,8.0,9.0,7.0,16.0,8.0
251,9.0,7.0,9.0,16.0,15.0
252,10.0,6.0,3.0,13.0,17.0
253,9.0,13.0,3.0,6.0,6.0
254,9.0,8.0,3.0,12.0,5.0
255,6.0,9.0,5.0,10.0,6.0
256,8.0,12.0,6.0,8.0,8.0
257,11.0,15.0,9.0,10.0,4.0
258,11.0,9.0,7.0,10.0,6.0
259,8.0,10.0,9.0,12.0,10.0
260,8.0,10.0,8.0,12.0,13.0
261,10.0,13.0,6.0,12.0,6.0
262,10.0,11.0,10.0,10.0,6.0
263,8.0,11.0,10.0,12.0,9.0
264,6.0,13.0,8.0,11.0,4.0
265,11.0,14.0,10.0,14.0,5.0
266,14.0,15.0,16.0,16.0,7.0
267,19.0,16.0,16.0,13.0,11.0
268,17.0,20.0,14.0,21.0,13.0
269,12.0,18.0,17.0,20.0,16.0
270,12.0,16.0,20.0,22.0,17.0
271,14.0,13.0,13.0,21.0,13.0
272,16.0,16.0,6.0,16.0,9.0
273,12.0,13.0,12.0,15.0,9.0
274,9.0,11.0,13.0,16.0,12.0
275,7.0,11.0,6.0,20.0,10.0
276,6.0,13.0,15.0,19.0,9.0
277,12.0,16.0,6.0,11.0,11.0
278,10.0,16.0,9.0,13.0,8.0
279,8.0,14.0,16.0,20.0,7.0
280,11.0,17.0,12.0,17.0,8.0
281,10.0,16.0,12.0,13.0,17.0
282,10.0,12.0,11.0,13.0,6.0
