,Tram_2,Tram_10,Tram_13,Tram_24,Tram_38
626,6.0,9.0,17.0,8.0,5.0
627,6.0,8.0,15.0,11.0,5.0
628,7.0,7.0,8.0,9.0,11.0
629,7.0,10.0,11.0,9.0,10.0
630,21.0,11.0,18.0,13.0,6.0
631,22.0,10.0,11.0,14.0,13.0
632,20.0,11.0,14.0,18.0,15.0
633,24.0,15.0,13.0,28.0,22.0
634,24.0,18.0,16.0,28.0,17.0
635,22.0,17.0,23.0,19.0,18.0
636,21.0,17.0,15.0,23.0,13.0
637,19.0,18.0,24.0,21.0,23.0
638,18.0,17.0,23.0,27.0,12.0
639,19.0,18.0,20.0,29.0,23.0
640,17.0,17.0,20.0,19.0,23.0
641,16.0,15.0,22.0,24.0,23.0
642,14.0,16.0,13.0,18.0,21.0
643,17.0,14.0,20.0,23.0,21.0
644,13.0,15.0,19.0,23.0,17.0
645,19.0,14.0,16.0,18.0,18.0
646,21.0,15.0,15.0,15.0,17.0
647,20.0,13.0,18.0,16.0,14.0
648,22.0,13.0,15.0,12.0,17.0
649,29.0,12.0,17.0,15.0,17.0
650,23.0,13.0,17.0,21.0,17.0
651,18.0,12.0,14.0,12.0,16.0
652,20.0,7.0,12.0,11.0,21.0
653,19.0,5.0,4.0,6.0,12.0
654,8.0,3.0,4.0,8.0,14.0
655,8.0,2.0,6.0,3.0,3.0
656,4.0,4.0,7.0,8.0,4.0
657,2.0,2.0,3.0,3.0,12.0
658,2.0,2.0,6.0,3.0,1.0
659,1.0,1.0,3.0,5.0,3.0
660,1.0,1.0,3.0,5.0,4.0
661,1.0,3.0,5.0,8.0,3.0
662,1.0,1.0,5.0,1.0,7.0
663,5.0,1.0,5.0,1.0,5.0
664,3.0,1.0,6.0,3.0,3.0
665,2.0,2.0,5.0,5.0,5.0
666,1.0,3.0,5.0,8.0,6.0
667,2.0,4.0,9.0,8.0,7.0
668,4.0,4.0,3.0,9.0,7.0
669,4.0,1.0,8.0,5.0,3.0
670,3.0,3.0,8.0,6.0,2.0
671,2.0,4.0,6.0,11.0,1.0
672,3.0,3.0,10.0,7.0,6.0
673,4.0,3.0,2.0,5.0,3.0
674,3.0,3.0,2.0,9.0,4.0
675,1.0,3.0,2.0,9.0,4.0
676,1.0,2.0,3.0,9.0,1.0
677,1.0,2.0,5.0,7.0,5.0
678,1.0,6.0,5.0,2.0,11.0
679,3.0,4.0,6.0,2.0,7.0
680,5.0,7.0,3.0,6.0,4.0
681,2.0,2.0,3.0,7.0,6.0
682,2.0,5.0,5.0,8.0,5.0
683,1.0,6.0,5.0,2.0,2.0
684,1.0,7.0,6.0,4.0,10.0
685,4.0,7.0,1.0,4.0,6.0
686,6.0,18.0,1.0,4.0,1.0
687,5.0,11.0,6.0,3.0,8.0
688,5.0,13.0,4.0,11.0,11.0
689,8.0,13.0,6.0,7.0,10.0
690,5.0,10.0,7.0,5.0,6.0
691,8.0,8.0,8.0,12.0,11.0
692,10.0,9.0,9.0,14.0,7.0
693,11.0,9.0,11.0,12.0,12.0
694,8.0,10.0,7.0,12.0,9.0
695,9.0,9.0,11.0,5.0,11.0
696,7.0,9.0,5.0,14.0,10.0
697,7.0,10.0,15.0,11.0,10.0
698,9.0,9.0,12.0,14.0,6.0
699,11.0,8.0,8.0,15.0,12.0
700,12.0,8.0,8.0,16.0,8.0
701,8.0,3.0,3.0,11.0,13.0
702,8.0,3.0,3.0,10.0,17.0
703,7.0,2.0,3.0,10.0,5.0
704,9.0,9.0,7.0,14.0,11.0
705,8.0,8.0,12.0,19.0,7.0
706,13.0,9.0,5.0,15.0,12.0
707,11.0,10.0,17.0,20.0,11.0
708,7.0,12.0,16.0,20.0,9.0
709,10.0,12.0,8.0,14.0,2.0
710,16.0,12.0,16.0,22.0,14.0
711,10.0,15.0,15.0,14.0,10.0
712,12.0,13.0,18.0,14.0,16.0
713,14.0,14.0,14.0,12.0,5.0
714,13.0,13.0,12.0,14.0,13.0
715,11.0,13.0,16.0,24.0,14.0
716,11.0,14.0,15.0,13.0,14.0
717,12.0,15.0,14.0,14.0,12.0
718,11.0,13.0,12.0,18.0,11.0
719,12.0,13.0,22.0,20.0,11.0
720,10.0,12.0,18.0,23.0,9.0
721,12.0,12.0,12.0,20.0,12.0
722,12.0,12.0,19.0,16.0,11.0
723,10.0,15.0,18.0,17.0,14.0
724,10.0,15.0,15.0,11.0,12.0
725,8.0,15.0,13.0,21.0,14.0
726,8.0,12.0,24.0,20.0,19.0
727,11.0,12.0,12.0,22.0,30.0
728,17.0,17.0,18.0,18.0,30.0
729,21.0,14.0,18.0,20.0,31.0
730,18.0,16.0,18.0,14.0,19.0
731,18.0,22.0,24.0,23.0,23.0
732,21.0,22.0,27.0,20.0,15.0
733,20.0,24.0,22.0,26.0,21.0
734,18.0,27.0,19.0,17.0,28.0
735,18.0,24.0,27.0,25.0,30.0
736,17.0,25.0,33.0,33.0,24.0
737,21.0,27.0,34.0,39.0,20.0
738,34.0,20.0,31.0,40.0,31.0
739,45.0,22.0,24.0,30.0,30.0
740,27.0,23.0,18.0,26.0,22.0
741,24.0,21.0,25.0,32.0,30.0
742,25.0,18.0,15.0,21.0,34.0
743,24.0,19.0,20.0,21.0,29.0
744,25.0,18.0,14.0,20.0,23.0
745,17.0,19.0,17.0,21.0,24.0
746,16.0,16.0,18.0,22.0,18.0
747,14.0,16.0,17.0,24.0,26.0
748,15.0,12.0,13.0,23.0,19.0
749,13.0,10.0,17.0,32.0,18.0
750,12.0,9.0,21.0,22.0,12.0
751,13.0,8.0,17.0,21.0,14.0
752,11.0,7.0,17.0,19.0,18.0
753,14.0,13.0,12.0,15.0,27.0
754,13.0,19.0,21.0,15.0,17.0
755,17.0,17.0,23.0,34.0,21.0
756,14.0,25.0,25.0,31.0,27.0
757,17.0,25.0,25.0,29.0,22.0
758,15.0,30.0,28.0,27.0,22.0
759,13.0,24.0,24.0,27.0,18.0
760,13.0,25.0,26.0,22.0,20.0
761,13.0,20.0,21.0,22.0,21.0
762,12.0,19.0,19.0,24.0,18.0
763,8.0,19.0,20.0,21.0,16.0
764,7.0,16.0,19.0,12.0,14.0
765,7.0,14.0,16.0,13.0,16.0
766,6.0,13.0,19.0,15.0,10.0
767,7.0,14.0,22.0,10.0,10.0
768,7.0,14.0,23.0,14.0,18.0
769,8.0,16.0,22.0,13.0,10.0
770,8.0,17.0,22.0,11.0,10.0
771,9.0,18.0,19.0,14.0,15.0
772,9.0,17.0,25.0,13.0,14.0
773,11.0,17.0,27.0,22.0,16.0
774,11.0,20.0,32.0,26.0,13.0
775,16.0,25.0,26.0,33.0,32.0
776,18.0,26.0,26.0,31.0,26.0
777,22.0,28.0,30.0,28.0,22.0
778,26.0,27.0,30.0,22.0,19.0
779,24.0,28.0,33.0,27.0,27.0
780,29.0,23.0,32.0,31.0,25.0
781,34.0,24.0,27.0,32.0,20.0
782,30.0,24.0,27.0,26.0,24.0
783,31.0,24.0,29.0,22.0,22.0
784,18.0,18.0,25.0,21.0,14.0
785,19.0,18.0,24.0,20.0,19.0
786,16.0,17.0,18.0,22.0,20.0
787,14.0,15.0,21.0,14.0,18.0
788,12.0,9.0,14.0,13.0,14.0
789,9.0,7.0,8.0,10.0,9.0
790,8.0,7.0,11.0,12.0,12.0
791,9.0,8.0,10.0,11.0,10.0
792,7.0,7.0,6.0,11.0,7.0
793,7.0,9.0,9.0,16.0,10.0
794,10.0,10.0,9.0,12.0,9.0
795,11.0,9.0,12.0,12.0,11.0
796,11.0,12.0,10.0,10.0,14.0
797,12.0,14.0,8.0,8.0,13.0
798,11.0,8.0,7.0,6.0,11.0
799,4.0,1.0,4.0,6.0,1.0
800,2.0,3.0,8.0,1.0,6.0
801,2.0,6.0,16.0,13.0,14.0
802,9.0,15.0,21.0,20.0,18.0
803,14.0,17.0,14.0,19.0,8.0
804,9.0,16.0,20.0,23.0,12.0
805,11.0,22.0,18.0,11.0,9.0
806,16.0,14.0,23.0,8.0,12.0
807,9.0,12.0,18.0,18.0,13.0
808,13.0,12.0,17.0,20.0,24.0
809,17.0,12.0,18.0,28.0,18.0
810,19.0,11.0,21.0,20.0,13.0
811,15.0,16.0,20.0,17.0,12.0
812,16.0,10.0,20.0,18.0,15.0
813,16.0,10.0,11.0,17.0,10.0
814,15.0,13.0,14.0,18.0,14.0
815,12.0,11.0,19.0,20.0,15.0
816,12.0,10.0,19.0,19.0,21.0
817,17.0,14.0,10.0,22.0,15.0
818,16.0,16.0,15.0,23.0,20.0
819,14.0,16.0,10.0,25.0,14.0
820,17.0,17.0,19.0,26.0,15.0
821,14.0,18.0,19.0,26.0,15.0
822,13.0,14.0,9.0,21.0,13.0
823,13.0,14.0,11.0,20.0,18.0
824,12.0,17.0,16.0,20.0,17.0
825,14.0,17.0,12.0,20.0,18.0
826,16.0,18.0,13.0,22.0,13.0
827,16.0,17.0,20.0,17.0,14.0
828,13.0,12.0,18.0,14.0,14.0
829,14.0,14.0,19.0,16.0,18.0
830,20.0,12.0,17.0,14.0,15.0
831,17.0,16.0,16.0,21.0,22.0
832,15.0,17.0,19.0,23.0,19.0
833,21.0,20.0,17.0,32.0,24.0
834,20.0,18.0,22.0,23.0,19.0
835,25.0,21.0,23.0,33.0,18.0
836,27.0,18.0,27.0,19.0,20.0
837,23.0,17.0,17.0,19.0,21.0
838,18.0,17.0,12.0,23.0,23.0
839,19.0,17.0,14.0,23.0,19.0
840,21.0,17.0,20.0,18.0,21.0
841,18.0,12.0,13.0,20.0,21.0
842,16.0,12.0,4.0,15.0,19.0
843,16.0,11.0,12.0,19.0,15.0
844,15.0,12.0,8.0,12.0,13.0
845,14.0,11.0,7.0,17.0,20.0
846,12.0,8.0,7.0,15.0,12.0
847,11.0,7.0,7.0,18.0,19.0
848,5.0,9.0,8.0,22.0,11.0
849,3.0,10.0,15.0,9.0,3.0
850,6.0,8.0,11.0,7.0,15.0
851,8.0,8.0,13.0,13.0,9.0
852,7.0,10.0,13.0,11.0,13.0
853,8.0,9.0,9.0,14.0,7.0
854,7.0,9.0,11.0,11.0,6.0
855,9.0,8.0,8.0,13.0,10.0
856,8.0,11.0,10.0,19.0,12.0
857,9.0,11.0,8.0,13.0,12.0
858,9.0,9.0,14.0,11.0,11.0
859,8.0,9.0,13.0,15.0,19.0
860,9.0,11.0,12.0,14.0,14.0
861,8.0,11.0,13.0,18.0,13.0
862,9.0,10.0,13.0,17.0,12.0
863,8.0,11.0,16.0,13.0,13.0
864,7.0,9.0,14.0,16.0,11.0
865,10.0,3.0,8.0,11.0,16.0
866,9.0,6.0,8.0,9.0,10.0
867,8.0,7.0,8.0,12.0,5.0
868,8.0,8.0,7.0,8.0,10.0
869,6.0,7.0,9.0,9.0,11.0
870,5.0,6.0,16.0,12.0,10.0
871,5.0,6.0,13.0,14.0,5.0
872,8.0,9.0,16.0,13.0,8.0
873,13.0,8.0,13.0,8.0,12.0
874,9.0,10.0,10.0,18.0,15.0
875,8.0,7.0,14.0,11.0,15.0
876,6.0,9.0,14.0,16.0,8.0
877,3.0,9.0,12.0,13.0,9.0
878,6.0,8.0,12.0,13.0,4.0
879,7.0,9.0,14.0,12.0,16.0
880,7.0,9.0,15.0,8.0,6.0
881,7.0,12.0,14.0,12.0,10.0
882,13.0,14.0,13.0,15.0,14.0
883,14.0,13.0,22.0,17.0,14.0
884,13.0,16.0,23.0,26.0,21.0
885,14.0,13.0,22.0,18.0,17.0
886,10.0,11.0,13.0,23.0,19.0
887,11.0,14.0,19.0,14.0,21.0
888,16.0,12.0,16.0,14.0,15.0
889,20.0,15.0,13.0,20.0,24.0
890,17.0,16.0,17.0,19.0,18.0
891,14.0,17.0,21.0,24.0,17.0
892,19.0,15.0,21.0,24.0,19.0
893,16.0,25.0,21.0,19.0,24.0
894,18.0,31.0,32.0,29.0,27.0
895,22.0,34.0,32.0,36.0,24.0
896,26.0,23.0,23.0,34.0,25.0
897,24.0,16.0,15.0,15.0,20.0
898,22.0,14.0,14.0,13.0,15.0
899,24.0,10.0,8.0,19.0,15.0
900,29.0,10.0,10.0,15.0,10.0
901,26.0,9.0,13.0,15.0,10.0
902,31.0,10.0,10.0,26.0,40.0
903,29.0,11.0,16.0,30.0,28.0
904,24.0,29.0,34.0,35.0,23.0
905,26.0,34.0,35.0,37.0,23.0
906,32.0,31.0,33.0,31.0,28.0
907,25.0,33.0,33.0,32.0,29.0
908,20.0,31.0,32.0,40.0,28.0
909,20.0,32.0,35.0,39.0,27.0
910,21.0,27.0,38.0,40.0,25.0
911,16.0,26.0,33.0,39.0,27.0
912,15.0,25.0,37.0,33.0,19.0
913,16.0,26.0,41.0,30.0,24.0
914,14.0,24.0,34.0,30.0,22.0
915,14.0,24.0,30.0,27.0,28.0
916,12.0,24.0,31.0,23.0,21.0
917,12.0,21.0,35.0,29.0,20.0
918,13.0,17.0,31.0,28.0,21.0
919,8.0,20.0,30.0,26.0,23.0
920,8.0,21.0,22.0,17.0,18.0
921,9.0,16.0,17.0,17.0,21.0
922,7.0,18.0,16.0,16.0,18.0
923,12.0,17.0,14.0,16.0,17.0
924,13.0,19.0,19.0,24.0,21.0
925,14.0,22.0,20.0,29.0,23.0
926,18.0,22.0,29.0,26.0,19.0
927,15.0,21.0,20.0,19.0,21.0
928,12.0,19.0,13.0,20.0,16.0
929,12.0,14.0,13.0,24.0,14.0
930,9.0,11.0,7.0,20.0,17.0
931,8.0,9.0,9.0,9.0,8.0
932,9.0,7.0,13.0,12.0,14.0
933,9.0,9.0,11.0,12.0,10.0
934,9.0,8.0,14.0,9.0,10.0
935,8.0,8.0,17.0,15.0,12.0
936,4.0,7.0,10.0,7.0,2.0
937,5.0,4.0,5.0,12.0,5.0
938,5.0,3.0,5.0,4.0,8.0
939,3.0,2.0,2.0,2.0,3.0
940,2.0,2.0,2.0,2.0,1.0
941,2.0,2.0,8.0,2.0,7.0
942,2.0,2.0,5.0,4.0,4.0
943,3.0,1.0,4.0,8.0,1.0
944,1.0,3.0,6.0,5.0,2.0
945,1.0,2.0,9.0,2.0,2.0
946,3.0,2.0,5.0,5.0,4.0
947,3.0,2.0,9.0,3.0,3.0
948,6.0,2.0,7.0,5.0,10.0
949,7.0,7.0,15.0,5.0,21.0
950,12.0,10.0,9.0,14.0,18.0
951,17.0,9.0,16.0,14.0,18.0
952,5.0,9.0,15.0,9.0,18.0
953,7.0,6.0,9.0,7.0,18.0
954,22.0,6.0,7.0,7.0,20.0
955,13.0,4.0,3.0,3.0,27.0
956,5.0,3.0,3.0,7.0,5.0
957,5.0,3.0,3.0,13.0,7.0
958,3.0,4.0,9.0,16.0,8.0
959,4.0,1.0,9.0,10.0,7.0
960,2.0,1.0,9.0,10.0,6.0
961,2.0,1.0,4.0,7.0,4.0
962,2.0,2.0,9.0,5.0,3.0
963,2.0,5.0,11.0,10.0,4.0
964,2.0,6.0,8.0,4.0,10.0
965,2.0,6.0,8.0,1.0,5.0
966,1.0,7.0,13.0,3.0,3.0
967,2.0,7.0,10.0,15.0,7.0
968,1.0,12.0,10.0,8.0,6.0
969,1.0,7.0,7.0,10.0,10.0
970,4.0,7.0,12.0,7.0,5.0
971,5.0,14.0,10.0,11.0,10.0
972,4.0,12.0,10.0,10.0,8.0
973,5.0,11.0,5.0,8.0,8.0
974,2.0,11.0,11.0,12.0,9.0
975,3.0,9.0,8.0,13.0,11.0
976,5.0,8.0,13.0,7.0,7.0
977,7.0,12.0,12.0,9.0,10.0
978,11.0,11.0,13.0,9.0,12.0
979,10.0,12.0,10.0,8.0,12.0
980,10.0,11.0,13.0,11.0,4.0
981,6.0,12.0,16.0,8.0,10.0
982,6.0,10.0,15.0,9.0,4.0
983,4.0,10.0,13.0,7.0,7.0
984,5.0,21.0,13.0,17.0,9.0
985,4.0,9.0,12.0,16.0,12.0
986,6.0,6.0,5.0,10.0,5.0
987,6.0,7.0,12.0,10.0,8.0
988,9.0,4.0,5.0,2.0,10.0
989,3.0,2.0,8.0,6.0,12.0
990,3.0,2.0,9.0,6.0,11.0
991,3.0,2.0,9.0,4.0,4.0
992,2.0,5.0,9.0,5.0,1.0
993,1.0,8.0,3.0,5.0,6.0
994,3.0,7.0,4.0,4.0,1.0
995,3.0,8.0,6.0,4.0,5.0
996,2.0,9.0,3.0,9.0,6.0
997,2.0,9.0,4.0,5.0,3.0
998,6.0,12.0,4.0,4.0,9.0
999,2.0,8.0,3.0,9.0,5.0
1000,3.0,6.0,5.0,9.0,6.0
1001,3.0,7.0,5.0,10.0,16.0
1002,3.0,4.0,6.0,7.0,9.0
1003,3.0,8.0,3.0,6.0,5.0
1004,3.0,5.0,5.0,9.0,6.0
1005,2.0,4.0,10.0,6.0,12.0
1006,2.0,4.0,9.0,3.0,2.0
1007,2.0,6.0,12.0,7.0,3.0
1008,1.0,6.0,4.0,9.0,5.0
1009,1.0,5.0,9.0,8.0,5.0
1010,1.0,3.0,11.0,17.0,4.0
1011,2.0,5.0,8.0,5.0,6.0
1012,2.0,1.0,11.0,9.0,7.0
1013,2.0,2.0,4.0,10.0,6.0
1014,4.0,2.0,12.0,7.0,6.0
1015,2.0,4.0,17.0,6.0,14.0
1016,9.0,8.0,13.0,14.0,6.0
1017,5.0,17.0,16.0,14.0,15.0
1018,2.0,16.0,5.0,14.0,16.0
1019,7.0,18.0,7.0,10.0,14.0
1020,6.0,7.0,4.0,10.0,21.0
1021,7.0,8.0,5.0,11.0,19.0
1022,8.0,10.0,7.0,9.0,15.0
1023,8.0,10.0,14.0,15.0,14.0
1024,9.0,14.0,7.0,19.0,15.0
1025,7.0,15.0,12.0,21.0,12.0
1026,9.0,14.0,16.0,15.0,8.0
1027,7.0,12.0,18.0,14.0,14.0
1028,9.0,13.0,17.0,21.0,11.0
1029,8.0,13.0,14.0,12.0,12.0
1030,8.0,13.0,17.0,14.0,7.0
1031,8.0,11.0,12.0,7.0,13.0
1032,7.0,13.0,12.0,17.0,6.0
1033,8.0,12.0,13.0,10.0,8.0
1034,8.0,10.0,6.0,16.0,11.0
1035,7.0,14.0,14.0,15.0,11.0
1036,7.0,16.0,14.0,13.0,10.0
1037,7.0,14.0,13.0,28.0,12.0
1038,9.0,15.0,21.0,14.0,11.0
1039,12.0,17.0,15.0,16.0,13.0
1040,9.0,16.0,16.0,14.0,24.0
1041,13.0,15.0,13.0,12.0,15.0
1042,14.0,19.0,13.0,16.0,15.0
1043,14.0,18.0,17.0,18.0,19.0
1044,16.0,18.0,21.0,19.0,23.0
1045,12.0,16.0,9.0,19.0,21.0
1046,15.0,14.0,8.0,22.0,16.0
1047,13.0,15.0,14.0,20.0,23.0
1048,10.0,11.0,11.0,20.0,16.0
1049,9.0,11.0,8.0,17.0,11.0
1050,11.0,11.0,5.0,12.0,16.0
1051,13.0,13.0,19.0,18.0,16.0
1052,14.0,13.0,13.0,26.0,13.0
1053,11.0,13.0,9.0,16.0,17.0
1054,17.0,14.0,7.0,13.0,19.0
1055,17.0,12.0,9.0,14.0,15.0
1056,12.0,10.0,7.0,10.0,15.0
1057,12.0,8.0,3.0,15.0,10.0
1058,10.0,9.0,4.0,6.0,10.0
1059,9.0,10.0,3.0,13.0,8.0
1060,9.0,9.0,10.0,11.0,10.0
1061,5.0,7.0,11.0,10.0,20.0
1062,5.0,6.0,6.0,11.0,19.0
1063,6.0,7.0,9.0,14.0,10.0
1064,6.0,14.0,12.0,10.0,12.0
1065,5.0,16.0,12.0,14.0,14.0
1066,9.0,15.0,12.0,13.0,11.0
1067,8.0,14.0,17.0,21.0,9.0
1068,9.0,16.0,15.0,16.0,8.0
1069,13.0,14.0,17.0,14.0,18.0
1070,12.0,12.0,10.0,16.0,10.0
1071,13.0,11.0,15.0,15.0,13.0
1072,13.0,10.0,15.0,18.0,17.0
1073,11.0,14.0,11.0,23.0,13.0
1074,10.0,12.0,19.0,21.0,21.0
1075,10.0,13.0,25.0,16.0,16.0
1076,10.0,12.0,13.0,8.0,13.0
1077,10.0,14.0,12.0,20.0,10.0
1078,8.0,14.0,10.0,13.0,11.0
1079,7.0,11.0,5.0,7.0,12.0
1080,8.0,12.0,9.0,7.0,10.0
1081,8.0,11.0,11.0,7.0,8.0
1082,9.0,11.0,4.0,15.0,11.0
1083,7.0,11.0,14.0,11.0,7.0
1084,7.0,13.0,10.0,11.0,10.0
1085,9.0,13.0,13.0,14.0,9.0
1086,5.0,14.0,10.0,13.0,16.0
1087,8.0,11.0,11.0,14.0,13.0
1088,17.0,15.0,19.0,19.0,15.0
1089,10.0,14.0,19.0,35.0,19.0
1090,8.0,23.0,21.0,27.0,21.0
1091,12.0,24.0,26.0,31.0,18.0
1092,10.0,25.0,22.0,28.0,17.0
1093,10.0,20.0,21.0,28.0,12.0
1094,9.0,19.0,17.0,39.0,18.0
1095,12.0,19.0,17.0,32.0,18.0
1096,14.0,25.0,29.0,31.0,14.0
1097,15.0,22.0,22.0,20.0,16.0
1098,16.0,13.0,18.0,22.0,16.0
1099,9.0,15.0,15.0,22.0,14.0
1100,7.0,10.0,13.0,14.0,17.0
1101,8.0,13.0,15.0,12.0,13.0
1102,5.0,10.0,17.0,10.0,11.0
1103,4.0,9.0,11.0,11.0,9.0
1104,5.0,7.0,11.0,7.0,13.0
1105,4.0,7.0,8.0,16.0,10.0
1106,5.0,8.0,5.0,6.0,13.0
1107,5.0,7.0,10.0,11.0,10.0
1108,5.0,9.0,5.0,12.0,18.0
1109,5.0,9.0,18.0,4.0,8.0
1110,6.0,9.0,8.0,15.0,7.0
1111,8.0,9.0,6.0,10.0,19.0
1112,4.0,7.0,12.0,15.0,13.0
1113,6.0,5.0,10.0,11.0,9.0
1114,3.0,5.0,9.0,9.0,9.0
1115,3.0,6.0,4.0,9.0,7.0
1116,2.0,4.0,8.0,8.0,6.0
1117,2.0,4.0,7.0,14.0,5.0
1118,2.0,2.0,4.0,6.0,6.0
1119,3.0,1.0,2.0,2.0,12.0
1120,1.0,1.0,7.0,5.0,4.0
1121,1.0,1.0,7.0,6.0,5.0
1122,1.0,2.0,2.0,1.0,7.0
1123,1.0,2.0,5.0,1.0,1.0
1124,1.0,4.0,5.0,4.0,6.0
1125,6.0,5.0,11.0,10.0,5.0
1126,4.0,7.0,7.0,4.0,7.0
1127,3.0,9.0,8.0,12.0,9.0
1128,3.0,10.0,2.0,5.0,13.0
1129,3.0,10.0,12.0,1.0,9.0
1130,5.0,13.0,9.0,5.0,9.0
1131,6.0,14.0,7.0,3.0,12.0
1132,7.0,8.0,4.0,4.0,7.0
1133,3.0,8.0,10.0,15.0,4.0
1134,4.0,18.0,10.0,9.0,13.0
1135,4.0,6.0,17.0,12.0,22.0
1136,8.0,14.0,17.0,14.0,19.0
1137,8.0,16.0,13.0,14.0,15.0
1138,12.0,17.0,14.0,21.0,9.0
1139,14.0,18.0,12.0,20.0,16.0
1140,17.0,20.0,7.0,16.0,14.0
1141,15.0,16.0,10.0,14.0,9.0
1142,16.0,15.0,7.0,17.0,8.0
1143,15.0,10.0,8.0,10.0,11.0
1144,13.0,10.0,13.0,7.0,15.0
1145,16.0,12.0,15.0,18.0,12.0
1146,15.0,13.0,11.0,15.0,6.0
1147,14.0,14.0,16.0,23.0,14.0
1148,12.0,13.0,14.0,21.0,15.0
1149,16.0,15.0,11.0,21.0,19.0
1150,14.0,13.0,16.0,23.0,15.0
1151,7.0,15.0,12.0,16.0,20.0
1152,10.0,16.0,14.0,23.0,15.0
1153,13.0,15.0,17.0,20.0,17.0
1154,13.0,18.0,15.0,24.0,12.0
1155,14.0,15.0,18.0,23.0,10.0
1156,13.0,17.0,13.0,21.0,14.0
1157,8.0,14.0,18.0,17.0,16.0
1158,8.0,9.0,12.0,20.0,15.0
1159,11.0,10.0,10.0,17.0,9.0
1160,12.0,15.0,14.0,14.0,5.0
1161,12.0,13.0,10.0,18.0,11.0
1162,13.0,14.0,13.0,11.0,16.0
1163,15.0,13.0,19.0,14.0,15.0
1164,17.0,15.0,12.0,18.0,15.0
1165,16.0,15.0,15.0,20.0,13.0
1166,16.0,12.0,14.0,16.0,18.0
1167,13.0,11.0,10.0,9.0,13.0
1168,14.0,12.0,9.0,12.0,13.0
1169,16.0,15.0,17.0,13.0,7.0
1170,14.0,14.0,15.0,16.0,23.0
1171,10.0,14.0,17.0,19.0,13.0
1172,11.0,14.0,9.0,14.0,17.0
1173,7.0,11.0,15.0,12.0,15.0
1174,8.0,10.0,16.0,12.0,12.0
1175,9.0,10.0,14.0,14.0,14.0
1176,7.0,9.0,12.0,7.0,8.0
1177,7.0,7.0,8.0,5.0,7.0
1178,6.0,3.0,5.0,8.0,11.0
1179,7.0,4.0,1.0,8.0,6.0
1180,6.0,5.0,3.0,1.0,10.0
1181,4.0,10.0,2.0,3.0,6.0
1182,5.0,4.0,4.0,12.0,7.0
1183,5.0,4.0,8.0,10.0,9.0
1184,4.0,3.0,12.0,3.0,8.0
1185,8.0,3.0,5.0,8.0,5.0
1186,8.0,8.0,3.0,7.0,10.0
1187,7.0,5.0,8.0,4.0,4.0
1188,6.0,6.0,4.0,4.0,3.0
1189,6.0,4.0,2.0,7.0,10.0
1190,7.0,4.0,3.0,7.0,10.0
1191,6.0,5.0,3.0,4.0,5.0
1192,5.0,5.0,2.0,7.0,6.0
1193,5.0,6.0,4.0,7.0,9.0
1194,5.0,6.0,3.0,3.0,13.0
1195,6.0,4.0,3.0,8.0,7.0
1196,6.0,2.0,7.0,2.0,5.0
1197,5.0,5.0,2.0,3.0,13.0
1198,4.0,4.0,2.0,3.0,3.0
1199,3.0,4.0,9.0,6.0,8.0
1200,3.0,3.0,3.0,7.0,6.0
1201,2.0,4.0,3.0,7.0,10.0
1202,3.0,3.0,1.0,10.0,9.0
1203,3.0,7.0,1.0,2.0,11.0
1204,3.0,9.0,3.0,8.0,1.0
1205,3.0,8.0,4.0,15.0,4.0
1206,2.0,6.0,13.0,9.0,9.0
1207,3.0,4.0,9.0,9.0,10.0
1208,3.0,10.0,7.0,8.0,13.0
1209,7.0,11.0,8.0,6.0,15.0
1210,6.0,11.0,7.0,6.0,9.0
1211,6.0,11.0,9.0,16.0,9.0
1212,3.0,8.0,6.0,6.0,8.0
1213,5.0,5.0,7.0,6.0,12.0
1214,8.0,7.0,2.0,1.0,5.0
1215,8.0,5.0,6.0,8.0,5.0
1216,3.0,6.0,5.0,3.0,10.0
1217,9.0,4.0,8.0,5.0,7.0
1218,6.0,2.0,2.0,2.0,6.0
1219,6.0,4.0,5.0,5.0,2.0
1220,5.0,3.0,8.0,6.0,4.0
1221,1.0,1.0,8.0,8.0,6.0
1222,2.0,2.0,11.0,4.0,3.0
1223,5.0,4.0,8.0,7.0,6.0
1224,6.0,4.0,9.0,4.0,2.0
1225,6.0,4.0,7.0,6.0,8.0
1226,5.0,5.0,6.0,9.0,9.0
1227,4.0,5.0,6.0,9.0,12.0
1228,5.0,3.0,9.0,10.0,6.0
1229,3.0,4.0,5.0,12.0,1.0
1230,4.0,3.0,3.0,10.0,9.0
1231,6.0,4.0,8.0,10.0,8.0
1232,2.0,9.0,13.0,5.0,12.0
1233,4.0,9.0,8.0,9.0,13.0
1234,3.0,9.0,4.0,13.0,11.0
1235,3.0,8.0,7.0,9.0,1.0
1236,4.0,10.0,12.0,5.0,9.0
1237,10.0,16.0,19.0,18.0,10.0
1238,11.0,24.0,18.0,16.0,17.0
1239,7.0,10.0,14.0,17.0,19.0
1240,18.0,11.0,12.0,26.0,20.0
1241,21.0,17.0,26.0,31.0,27.0
1242,21.0,20.0,19.0,32.0,24.0
1243,20.0,21.0,22.0,28.0,27.0
1244,17.0,14.0,18.0,20.0,26.0
1245,15.0,12.0,17.0,16.0,23.0
1246,11.0,13.0,20.0,13.0,19.0
1247,7.0,13.0,15.0,19.0,18.0
1248,8.0,16.0,18.0,20.0,17.0
